"Year","Grid","ID","Sex","kprod","ars_all","age","year","grid_year","competition"
"2005","KL",419,"female",3,0,4,2005,"KL2005",3.33333333333333
"2005","KL",439,"female",10,3,2,2005,"KL2005",3.33333333333333
"2005","KL",421,"female",5,0,4,2005,"KL2005",3.33333333333333
"2005","KL",428,"female",4,1,3,2005,"KL2005",3.33333333333333
"2005","KL",550,"female",9,2,1,2005,"KL2005",3.33333333333333
"2005","KL",495,"female",5,1,4,2005,"KL2005",3.33333333333333
"2005","KL",5,"female",3,3,1,2005,"KL2005",3.33333333333333
"2005","KL",432,"female",12,1,3,2005,"KL2005",3.33333333333333
"2005","SU",473,"female",3,1,3,2005,"SU2005",3.11428571428571
"2005","SU",402,"female",4,0,5,2005,"SU2005",3.11428571428571
"2005","SU",417,"female",3,1,4,2005,"SU2005",3.11428571428571
"2005","SU",461,"female",8,4,2,2005,"SU2005",3.11428571428571
"2005","SU",434,"female",8,4,3,2005,"SU2005",3.11428571428571
"2005","SU",401,"female",1,0,7,2005,"SU2005",3.11428571428571
"2005","SU",505,"female",2,0,1,2005,"SU2005",3.11428571428571
"2005","SU",510,"female",3,2,1,2005,"SU2005",3.11428571428571
"2005","SU",529,"female",3,3,4,2005,"SU2005",3.11428571428571
"2005","SU",524,"female",5,0,2,2005,"SU2005",3.11428571428571
"2005","SU",4,"female",3,0,8,2005,"SU2005",3.11428571428571
"2005","SU",459,"female",3,1,4,2005,"SU2005",3.11428571428571
"2005","SU",443,"female",3,0,2,2005,"SU2005",3.11428571428571
"2005","SU",460,"female",3,0,3,2005,"SU2005",3.11428571428571
"2005","SU",466,"female",3,3,4,2005,"SU2005",3.11428571428571
"2005","SU",400,"female",2,0,7,2005,"SU2005",3.11428571428571
"2005","SU",467,"female",5,3,2,2005,"SU2005",3.11428571428571
"2005","SU",503,"female",3,3,1,2005,"SU2005",3.11428571428571
"2005","SU",408,"female",3,3,2,2005,"SU2005",3.11428571428571
"2005","SU",455,"female",3,1,3,2005,"SU2005",3.11428571428571
"2005","SU",472,"female",2,0,8,2005,"SU2005",3.11428571428571
"2005","SU",451,"female",8,0,3,2005,"SU2005",3.11428571428571
"2005","SU",471,"female",1,0,1,2005,"SU2005",3.11428571428571
"2005","SU",409,"female",4,0,2,2005,"SU2005",3.11428571428571
"2005","SU",453,"female",3,0,3,2005,"SU2005",3.11428571428571
"2005","SU",381,"female",2,0,7,2005,"SU2005",3.11428571428571
"2005","SU",465,"female",4,2,4,2005,"SU2005",3.11428571428571
"2005","SU",509,"female",3,0,1,2005,"SU2005",3.11428571428571
"2005","SU",398,"female",2,0,7,2005,"SU2005",3.11428571428571
"2005","SU",442,"female",6,3,2,2005,"SU2005",3.11428571428571
"2005","SU",444,"female",3,1,2,2005,"SU2005",3.11428571428571
"2006","KL",514,"female",3,0,1,2006,"KL2006",6.375
"2006","KL",483,"female",3,0,1,2006,"KL2006",6.375
"2006","KL",502,"female",3,0,2,2006,"KL2006",6.375
"2006","KL",486,"female",3,1,1,2006,"KL2006",6.375
"2006","KL",488,"female",4,1,1,2006,"KL2006",6.375
"2006","KL",431,"female",4,0,5,2006,"KL2006",6.375
"2006","KL",395,"female",3,0,2,2006,"KL2006",6.375
"2006","KL",507,"female",3,0,1,2006,"KL2006",6.375
"2006","KL",449,"female",4,0,4,2006,"KL2006",6.375
"2006","KL",513,"female",4,2,1,2006,"KL2006",6.375
"2006","KL",477,"female",4,0,1,2006,"KL2006",6.375
"2006","KL",445,"female",4,1,3,2006,"KL2006",6.375
"2006","KL",470,"female",8,0,2,2006,"KL2006",6.375
"2006","KL",512,"female",3,1,1,2006,"KL2006",6.375
"2006","KL",495,"female",4,1,5,2006,"KL2006",6.375
"2006","KL",500,"female",2,0,1,2006,"KL2006",6.375
"2006","KL",556,"female",3,0,1,2006,"KL2006",6.375
"2006","KL",469,"female",3,1,2,2006,"KL2006",6.375
"2006","KL",491,"female",2,0,1,2006,"KL2006",6.375
"2006","KL",501,"female",3,0,3,2006,"KL2006",6.375
"2006","KL",511,"female",5,1,2,2006,"KL2006",6.375
"2006","KL",481,"female",4,1,1,2006,"KL2006",6.375
"2006","KL",550,"female",3,1,2,2006,"KL2006",6.375
"2006","KL",487,"female",3,2,1,2006,"KL2006",6.375
"2006","KL",462,"female",4,1,2,2006,"KL2006",6.375
"2006","KL",432,"female",4,1,4,2006,"KL2006",6.375
"2006","KL",439,"female",4,0,3,2006,"KL2006",6.375
"2006","KL",522,"female",5,1,1,2006,"KL2006",6.375
"2006","SU",446,"female",4,1,2,2006,"SU2006",11.625
"2006","SU",461,"female",3,0,3,2006,"SU2006",11.625
"2006","SU",510,"female",4,0,2,2006,"SU2006",11.625
"2006","SU",459,"female",4,0,5,2006,"SU2006",11.625
"2006","SU",503,"female",3,2,2,2006,"SU2006",11.625
"2006","SU",408,"female",3,0,3,2006,"SU2006",11.625
"2006","SU",476,"female",3,0,1,2006,"SU2006",11.625
"2006","SU",475,"female",2,1,3,2006,"SU2006",11.625
"2006","SU",467,"female",2,0,3,2006,"SU2006",11.625
"2006","SU",444,"female",7,0,3,2006,"SU2006",11.625
"2006","SU",479,"female",3,0,1,2006,"SU2006",11.625
"2006","SU",489,"female",2,0,1,2006,"SU2006",11.625
"2006","SU",505,"female",2,0,2,2006,"SU2006",11.625
"2006","SU",417,"female",8,0,5,2006,"SU2006",11.625
"2006","SU",442,"female",2,0,3,2006,"SU2006",11.625
"2006","SU",484,"female",2,0,1,2006,"SU2006",11.625
"2006","SU",434,"female",7,0,4,2006,"SU2006",11.625
"2006","SU",471,"female",2,0,2,2006,"SU2006",11.625
"2006","SU",473,"female",4,0,4,2006,"SU2006",11.625
"2006","SU",524,"female",3,1,3,2006,"SU2006",11.625
"2006","SU",480,"female",3,0,1,2006,"SU2006",11.625
"2006","SU",485,"female",3,1,1,2006,"SU2006",11.625
"2006","SU",455,"female",7,1,4,2006,"SU2006",11.625
"2006","SU",474,"female",3,0,1,2006,"SU2006",11.625
"2006","SU",529,"female",3,0,5,2006,"SU2006",11.625
"2006","SU",386,"female",1,0,9,2006,"SU2006",11.625
"2007","KL",491,"female",4,1,2,2007,"KL2007",4.29166666666667
"2007","KL",513,"female",8,0,2,2007,"KL2007",4.29166666666667
"2007","KL",462,"female",5,3,3,2007,"KL2007",4.29166666666667
"2007","KL",525,"female",3,1,1,2007,"KL2007",4.29166666666667
"2007","KL",521,"female",4,0,1,2007,"KL2007",4.29166666666667
"2007","KL",497,"female",3,3,2,2007,"KL2007",4.29166666666667
"2007","KL",477,"female",3,0,2,2007,"KL2007",4.29166666666667
"2007","KL",483,"female",3,2,2,2007,"KL2007",4.29166666666667
"2007","KL",470,"female",5,0,3,2007,"KL2007",4.29166666666667
"2007","KL",550,"female",4,0,3,2007,"KL2007",4.29166666666667
"2007","KL",432,"female",2,2,5,2007,"KL2007",4.29166666666667
"2007","KL",514,"female",9,0,2,2007,"KL2007",4.29166666666667
"2007","KL",533,"female",4,0,1,2007,"KL2007",4.29166666666667
"2007","KL",530,"female",5,1,2,2007,"KL2007",4.29166666666667
"2007","KL",500,"female",4,1,2,2007,"KL2007",4.29166666666667
"2007","KL",517,"female",3,2,2,2007,"KL2007",4.29166666666667
"2007","KL",507,"female",3,1,2,2007,"KL2007",4.29166666666667
"2007","KL",519,"female",4,0,1,2007,"KL2007",4.29166666666667
"2007","KL",496,"female",3,2,3,2007,"KL2007",4.29166666666667
"2007","KL",495,"female",3,0,6,2007,"KL2007",4.29166666666667
"2007","KL",534,"female",1,1,1,2007,"KL2007",4.29166666666667
"2007","KL",522,"female",4,0,2,2007,"KL2007",4.29166666666667
"2007","KL",492,"female",2,0,2,2007,"KL2007",4.29166666666667
"2007","KL",511,"female",3,0,3,2007,"KL2007",4.29166666666667
"2007","KL",395,"female",2,2,3,2007,"KL2007",4.29166666666667
"2007","KL",556,"female",3,2,2,2007,"KL2007",4.29166666666667
"2007","KL",516,"female",3,0,2,2007,"KL2007",4.29166666666667
"2007","KL",515,"female",3,0,2,2007,"KL2007",4.29166666666667
"2007","SU",526,"female",2,0,2,2007,"SU2007",4.14285714285714
"2007","SU",479,"female",4,1,2,2007,"SU2007",4.14285714285714
"2007","SU",537,"female",1,0,2,2007,"SU2007",4.14285714285714
"2007","SU",471,"female",4,1,3,2007,"SU2007",4.14285714285714
"2007","SU",484,"female",4,2,2,2007,"SU2007",4.14285714285714
"2007","SU",485,"female",3,2,2,2007,"SU2007",4.14285714285714
"2007","SU",508,"female",4,4,2,2007,"SU2007",4.14285714285714
"2007","SU",474,"female",3,0,2,2007,"SU2007",4.14285714285714
"2007","SU",528,"female",4,2,1,2007,"SU2007",4.14285714285714
"2007","SU",527,"female",2,0,1,2007,"SU2007",4.14285714285714
"2007","SU",490,"female",3,0,2,2007,"SU2007",4.14285714285714
"2007","SU",503,"female",2,1,3,2007,"SU2007",4.14285714285714
"2007","SU",523,"female",4,2,2,2007,"SU2007",4.14285714285714
"2007","SU",489,"female",3,1,2,2007,"SU2007",4.14285714285714
"2007","SU",520,"female",6,1,2,2007,"SU2007",4.14285714285714
"2007","SU",475,"female",4,1,4,2007,"SU2007",4.14285714285714
"2007","SU",478,"female",3,0,2,2007,"SU2007",4.14285714285714
"2007","SU",467,"female",3,1,4,2007,"SU2007",4.14285714285714
"2007","SU",494,"female",3,0,2,2007,"SU2007",4.14285714285714
"2007","SU",461,"female",3,0,4,2007,"SU2007",4.14285714285714
"2007","SU",535,"female",7,0,1,2007,"SU2007",4.14285714285714
"2007","SU",529,"female",3,0,6,2007,"SU2007",4.14285714285714
"2007","SU",417,"female",7,1,6,2007,"SU2007",4.14285714285714
"2007","SU",493,"female",1,1,2,2007,"SU2007",4.14285714285714
"2007","SU",505,"female",4,0,3,2007,"SU2007",4.14285714285714
"2008","KL",507,"female",3,0,3,2008,"KL2008",8.91666666666667
"2008","KL",560,"female",2,0,1,2008,"KL2008",8.91666666666667
"2008","KL",532,"female",3,0,2,2008,"KL2008",8.91666666666667
"2008","KL",530,"female",3,1,3,2008,"KL2008",8.91666666666667
"2008","KL",554,"female",3,1,3,2008,"KL2008",8.91666666666667
"2008","KL",536,"female",2,1,1,2008,"KL2008",8.91666666666667
"2008","KL",518,"female",4,0,2,2008,"KL2008",8.91666666666667
"2008","KL",553,"female",3,3,2,2008,"KL2008",8.91666666666667
"2008","KL",525,"female",3,0,2,2008,"KL2008",8.91666666666667
"2008","KL",470,"female",4,0,4,2008,"KL2008",8.91666666666667
"2008","KL",545,"female",3,1,1,2008,"KL2008",8.91666666666667
"2008","KL",486,"female",4,1,3,2008,"KL2008",8.91666666666667
"2008","KL",517,"female",3,0,3,2008,"KL2008",8.91666666666667
"2008","KL",496,"female",4,0,4,2008,"KL2008",8.91666666666667
"2008","KL",540,"female",3,0,1,2008,"KL2008",8.91666666666667
"2008","KL",483,"female",3,0,3,2008,"KL2008",8.91666666666667
"2008","KL",500,"female",3,0,3,2008,"KL2008",8.91666666666667
"2008","KL",515,"female",7,0,3,2008,"KL2008",8.91666666666667
"2008","KL",513,"female",4,2,3,2008,"KL2008",8.91666666666667
"2008","KL",491,"female",3,1,3,2008,"KL2008",8.91666666666667
"2008","KL",556,"female",7,0,3,2008,"KL2008",8.91666666666667
"2008","KL",543,"female",3,0,1,2008,"KL2008",8.91666666666667
"2008","KL",534,"female",3,0,2,2008,"KL2008",8.91666666666667
"2008","KL",482,"female",8,0,3,2008,"KL2008",8.91666666666667
"2008","KL",557,"female",4,0,2,2008,"KL2008",8.91666666666667
"2008","KL",550,"female",4,0,4,2008,"KL2008",8.91666666666667
"2008","KL",591,"female",2,0,2,2008,"KL2008",8.91666666666667
"2008","KL",492,"female",3,0,3,2008,"KL2008",8.91666666666667
"2008","KL",590,"female",3,0,3,2008,"KL2008",8.91666666666667
"2008","KL",542,"female",3,1,1,2008,"KL2008",8.91666666666667
"2008","SU",503,"female",3,0,4,2008,"SU2008",67
"2008","SU",551,"female",2,0,1,2008,"SU2008",67
"2008","SU",485,"female",2,0,3,2008,"SU2008",67
"2008","SU",490,"female",4,0,3,2008,"SU2008",67
"2008","SU",526,"female",6,0,3,2008,"SU2008",67
"2008","SU",489,"female",2,0,3,2008,"SU2008",67
"2008","SU",471,"female",3,0,4,2008,"SU2008",67
"2008","SU",588,"female",3,0,1,2008,"SU2008",67
"2008","SU",475,"female",4,0,5,2008,"SU2008",67
"2008","SU",586,"female",3,0,1,2008,"SU2008",67
"2008","SU",459,"female",4,0,7,2008,"SU2008",67
"2008","SU",589,"female",3,0,1,2008,"SU2008",67
"2008","SU",548,"female",4,0,1,2008,"SU2008",67
"2008","SU",587,"female",3,0,1,2008,"SU2008",67
"2008","SU",508,"female",3,0,3,2008,"SU2008",67
"2008","SU",558,"female",3,0,1,2008,"SU2008",67
"2008","SU",549,"female",2,1,1,2008,"SU2008",67
"2008","SU",520,"female",3,0,3,2008,"SU2008",67
"2008","SU",528,"female",3,0,2,2008,"SU2008",67
"2008","SU",531,"female",2,0,1,2008,"SU2008",67
"2008","SU",559,"female",2,0,2,2008,"SU2008",67
"2008","SU",535,"female",3,0,2,2008,"SU2008",67
"2009","KL",547,"female",3,1,3,2009,"KL2009",4.94117647058824
"2009","KL",518,"female",6,0,3,2009,"KL2009",4.94117647058824
"2009","KL",496,"female",4,0,5,2009,"KL2009",4.94117647058824
"2009","KL",532,"female",4,0,3,2009,"KL2009",4.94117647058824
"2009","KL",539,"female",3,1,2,2009,"KL2009",4.94117647058824
"2009","KL",546,"female",3,0,1,2009,"KL2009",4.94117647058824
"2009","KL",513,"female",4,3,4,2009,"KL2009",4.94117647058824
"2009","KL",560,"female",3,0,2,2009,"KL2009",4.94117647058824
"2009","KL",491,"female",4,0,4,2009,"KL2009",4.94117647058824
"2009","KL",534,"female",2,1,3,2009,"KL2009",4.94117647058824
"2009","KL",562,"female",4,0,1,2009,"KL2009",4.94117647058824
"2009","KL",563,"female",3,2,2,2009,"KL2009",4.94117647058824
"2009","KL",486,"female",5,0,4,2009,"KL2009",4.94117647058824
"2009","KL",540,"female",3,1,2,2009,"KL2009",4.94117647058824
"2009","KL",530,"female",3,0,4,2009,"KL2009",4.94117647058824
"2009","KL",541,"female",3,2,2,2009,"KL2009",4.94117647058824
"2009","KL",542,"female",4,0,2,2009,"KL2009",4.94117647058824
"2009","KL",515,"female",3,2,4,2009,"KL2009",4.94117647058824
"2009","KL",545,"female",3,0,2,2009,"KL2009",4.94117647058824
"2009","KL",536,"female",4,1,2,2009,"KL2009",4.94117647058824
"2009","KL",570,"female",3,0,1,2009,"KL2009",4.94117647058824
"2009","KL",553,"female",3,1,3,2009,"KL2009",4.94117647058824
"2009","KL",517,"female",4,1,4,2009,"KL2009",4.94117647058824
"2009","KL",561,"female",3,1,1,2009,"KL2009",4.94117647058824
"2009","SU",544,"female",2,0,2,2009,"SU2009",7.8
"2009","SU",587,"female",4,3,2,2009,"SU2009",7.8
"2009","SU",508,"female",2,0,4,2009,"SU2009",7.8
"2009","SU",538,"female",3,0,2,2009,"SU2009",7.8
"2009","SU",531,"female",4,0,2,2009,"SU2009",7.8
"2009","SU",520,"female",8,0,4,2009,"SU2009",7.8
"2009","SU",484,"female",3,1,4,2009,"SU2009",7.8
"2009","SU",588,"female",4,0,2,2009,"SU2009",7.8
"2009","SU",552,"female",3,0,2,2009,"SU2009",7.8
"2009","SU",555,"female",3,0,3,2009,"SU2009",7.8
"2009","SU",551,"female",3,1,2,2009,"SU2009",7.8
"2010","KL",542,"female",12,2,3,2010,"KL2010",4.05882352941176
"2010","KL",540,"female",3,1,3,2010,"KL2010",4.05882352941176
"2010","KL",518,"female",6,1,4,2010,"KL2010",4.05882352941176
"2010","KL",536,"female",7,2,3,2010,"KL2010",4.05882352941176
"2010","KL",577,"female",5,2,1,2010,"KL2010",4.05882352941176
"2010","KL",563,"female",4,2,3,2010,"KL2010",4.05882352941176
"2010","KL",576,"female",4,0,1,2010,"KL2010",4.05882352941176
"2010","KL",568,"female",4,2,2,2010,"KL2010",4.05882352941176
"2010","KL",539,"female",15,0,3,2010,"KL2010",4.05882352941176
"2010","KL",571,"female",8,2,1,2010,"KL2010",4.05882352941176
"2010","KL",572,"female",5,3,1,2010,"KL2010",4.05882352941176
"2010","KL",534,"female",7,3,4,2010,"KL2010",4.05882352941176
"2010","KL",578,"female",5,1,3,2010,"KL2010",4.05882352941176
"2010","KL",575,"female",5,2,1,2010,"KL2010",4.05882352941176
"2010","KL",567,"female",7,0,1,2010,"KL2010",4.05882352941176
"2010","KL",515,"female",5,2,5,2010,"KL2010",4.05882352941176
"2010","KL",569,"female",7,1,2,2010,"KL2010",4.05882352941176
"2010","KL",583,"female",9,0,2,2010,"KL2010",4.05882352941176
"2010","KL",553,"female",8,4,4,2010,"KL2010",4.05882352941176
"2010","KL",581,"female",3,2,2,2010,"KL2010",4.05882352941176
"2010","KL",573,"female",4,2,1,2010,"KL2010",4.05882352941176
"2010","KL",557,"female",5,0,4,2010,"KL2010",4.05882352941176
"2010","SU",579,"female",6,0,2,2010,"SU2010",3.10344827586207
"2010","SU",520,"female",8,4,5,2010,"SU2010",3.10344827586207
"2010","SU",585,"female",4,1,2,2010,"SU2010",3.10344827586207
"2010","SU",574,"female",9,4,1,2010,"SU2010",3.10344827586207
"2010","SU",584,"female",5,4,2,2010,"SU2010",3.10344827586207
"2010","SU",587,"female",11,4,3,2010,"SU2010",3.10344827586207
"2010","SU",566,"female",5,3,1,2010,"SU2010",3.10344827586207
"2010","SU",565,"female",5,3,2,2010,"SU2010",3.10344827586207
"2010","SU",588,"female",11,2,3,2010,"SU2010",3.10344827586207
"2010","SU",580,"female",13,3,1,2010,"SU2010",3.10344827586207
"2010","SU",564,"female",8,1,1,2010,"SU2010",3.10344827586207
"2010","SU",582,"female",5,0,2,2010,"SU2010",3.10344827586207
